Question;Answer;
What happened to the previous scriptures  ?;(4:46 )  Among those who are jews, there are some who displace words from (their )  right places and say: “We hear your word (O Muhammad (PBUH ) )    and disobey,” and “Hear and let you (O Muhammad (PBUH )  _ )  “hear nothing.” And Raina with a twist of there tongues and as a mockery of the religion (Islam )  And if only they had said: “We hear and obey”, And “Do make us understand,” it would have been better for them, and more proper, but Allah has cursed them for their disbelief, so they believe not except a few.(5:13 )  So because of their breach of their covenant, We cursed them and made their hearts grow hard. They change the words from their (right )  places and have abandoned a good part of the Message that was sent to them. And you will not cease to discover deceit in them, except a few of them. But forgive them and overlook (their misdeeds ) .Verily, Allah loves Al-Muhsinun (good-doers ) .;
What is the name of the last messenger ?;(3:144 )  Muhammad (PBUH )  is no more than a Messenger, and indeed (many )  Messengers have passed away before him. If he dies or is killed, will you then turn back on your heels (as disbelievers )  ? And he who turns back on his heels, not the least harm will he do to Allah, and Allah will give reward to those who are grateful.;
 mention the name of the last messenger ?;(3:144 )  Muhammad (PBUH )  is no more than a Messenger, and indeed (many )  Messengers have passed away before him. If he dies or is killed, will you then turn back on your heels (as disbelievers )  ? And he who turns back on his heels, not the least harm will he do to Allah, and Allah will give reward to those who are grateful.;
To whom did Allah send Mahammed ?;(34:28 )  And We have not sent you (O Muhammad (PBUH ) )    except as a giver of glad tidings and a warner to all mankind, but most of men know not.;
 To whom Prophet Mahammed has been sent?;(34:28 )  And We have not sent you (O Muhammad (PBUH ) )    except as a giver of glad tidings and a warner to all mankind, but most of men know not.;
What will Allah do with Jews and Christiansin who believe his Messenger (Muhammad (PBUH ) ?;(57:28 )  O you who believe (in Musa (moses )  (i.e. Jews )  and Isa (Jesus )  (i.e. Christians ) ! Fear Allah, and believe in His Messenger (Muhammad (PBUH )  _ ) , He will give you a double portion of His Mercy, and He will give you a light by which you shall walk (straight ) . And He will forgive you. And Allah is Oft-Forgiving, Most Merciful.;
What did Allah prepare for those among the Jews and Christians who believe in His Messenger (Muhammad (PBUH ) ?;(57:28 )  O you who believe (in Musa (moses )  (i.e. Jews )  and Isa (Jesus )  (i.e. Christians ) ! Fear Allah, and believe in His Messenger (Muhammad (PBUH )  _ ) , He will give you a double portion of His Mercy, and He will give you a light by which you shall walk (straight ) . And He will forgive you. And Allah is Oft-Forgiving, Most Merciful.;
What is the likeness of the creation of Jesus before Allah?  ;(3:59 )  Verily, the likeness of Isa (Jesus )  bofore Allah is the likeness of Adam. He created him from dust, then (He )  said to him: “Be” – and he was.;
What do you think of the creation of Jesus before God compared with Adam?;(3:59 )  Verily, the likeness of Isa (Jesus )  bofore Allah is the likeness of Adam. He created him from dust, then (He )  said to him: “Be” – and he was.;
What is the likeness  between the creation of Jesus and the creation of Adam? ;(3:59 )  Verily, the likeness of Isa (Jesus )  bofore Allah is the likeness of Adam. He created him from dust, then (He )  said to him: “Be” – and he was.;
What did angels said to Mary;(3:42 – 47 )  42: And (remember )  when the angels said: “(O Maryam (Mary ) ! Verily, Allah has chosen you, purified you (from polytheism and disbelief ) , and chosen you above the women of the Alamin (mankind and jinn )  (of her lifetime ) .” 43:O Mary! “Submit yourself with obedience to your Lord (Allah ) , by worshipping none but Him Alone )  and prostrate yourself, and Irkai (bow down )  along with ArRakiun (those who bow down ) .” 44:This is a part of the news of the Ghaib (unseen, i.e. the news of the past national of which you have no knowledge )  which We reveal to you (O Muhammad (PBUH )  )    You were not with them, when they cast lots with their pens as to which of them should be charged with the care of Maryam (Mary ) , nor were you with them when they disputed. 45:(Remember )  when the angels said: “O Maryam (Mary ) ! Verily, Allah gives you the glad tidings of a Word (“Be”- and he was! I.e. Isa (Jesus )  the son of Maryam (Mary ) , from Him, his name will be the Messiah Isa (Jesus ) , the son of Maryam (Mary ) , held in honour in this world and in the Hereafter, and will be one of those who are near to Allah.” 46:“He will speak to the people in the cradle and in manhood and he one of the righteous.” 47:She said: “O my Lord! How shall I have a son when no man has touched me.” He said: “So (it will be )  for Allah creates what He wills. When He has decreed something, He says to it only: “Be!” – and it is.;
what is the word of Allah about mary that the angles said to mary;(3:42 – 47 )  42: And (remember )  when the angels said: “(O Maryam (Mary ) ! Verily, Allah has chosen you, purified you (from polytheism and disbelief ) , and chosen you above the women of the Alamin (mankind and jinn )  (of her lifetime ) .” 43:O Mary! “Submit yourself with obedience to your Lord (Allah ) , by worshipping none but Him Alone )  and prostrate yourself, and Irkai (bow down )  along with ArRakiun (those who bow down ) .” 44:This is a part of the news of the Ghaib (unseen, i.e. the news of the past national of which you have no knowledge )  which We reveal to you (O Muhammad (PBUH )  )    You were not with them, when they cast lots with their pens as to which of them should be charged with the care of Maryam (Mary ) , nor were you with them when they disputed. 45:(Remember )  when the angels said: “O Maryam (Mary ) ! Verily, Allah gives you the glad tidings of a Word (“Be”- and he was! I.e. Isa (Jesus )  the son of Maryam (Mary ) , from Him, his name will be the Messiah Isa (Jesus ) , the son of Maryam (Mary ) , held in honour in this world and in the Hereafter, and will be one of those who are near to Allah.” 46:“He will speak to the people in the cradle and in manhood and he one of the righteous.” 47:She said: “O my Lord! How shall I have a son when no man has touched me.” He said: “So (it will be )  for Allah creates what He wills. When He has decreed something, He says to it only: “Be!” – and it is.;
Do you believe that Jesus was crucified? ;(4:157–158 )  157:And because of their saying (in boast ) , “We killed Messiah Isa (Jesus ) , son of Maryam (Mary ) , the Messenger of Allah,” – But they killed him not, nor crucified him, but they resemblance of Isa (Jesus )  was put over another man (and they Killed that man ) , and those who differ therein are full of doubts. They have no (certain )  knowledge, they follow nothing but conjecture. For surely, they killed him not (i.e. Isa (Jesus ) , son of Maryam (Mary )  (PBUT ) )   .158:But Allah raised him (Isa (Jesus )  up (with his body and soul )  unto Himself (and he (PBUH )  is in the heavens ) . And Allah is Ever All- Powerful All-Wise;
Do you think that Jesus was crucified?;(4:157–158 )  157:And because of their saying (in boast ) , “We killed Messiah Isa (Jesus ) , son of Maryam (Mary ) , the Messenger of Allah,” – But they killed him not, nor crucified him, but they resemblance of Isa (Jesus )  was put over another man (and they Killed that man ) , and those who differ therein are full of doubts. They have no (certain )  knowledge, they follow nothing but conjecture. For surely, they killed him not (i.e. Isa (Jesus ) , son of Maryam (Mary )  (PBUT ) )   .158:But Allah raised him (Isa (Jesus )  up (with his body and soul )  unto Himself (and he (PBUH )  is in the heavens ) . And Allah is Ever All- Powerful All-Wise;
 Do you confirm that Jesus was crucified?;(4:157–158 )  157:And because of their saying (in boast ) , “We killed Messiah Isa (Jesus ) , son of Maryam (Mary ) , the Messenger of Allah,” – But they killed him not, nor crucified him, but they resemblance of Isa (Jesus )  was put over another man (and they Killed that man ) , and those who differ therein are full of doubts. They have no (certain )  knowledge, they follow nothing but conjecture. For surely, they killed him not (i.e. Isa (Jesus ) , son of Maryam (Mary )  (PBUT ) )   .158:But Allah raised him (Isa (Jesus )  up (with his body and soul )  unto Himself (and he (PBUH )  is in the heavens ) . And Allah is Ever All- Powerful All-Wise;
Was Jesus died on the cross ?;(4:157–158 )  157:And because of their saying (in boast ) , “We killed Messiah Isa (Jesus ) , son of Maryam (Mary ) , the Messenger of Allah,” – But they killed him not, nor crucified him, but they resemblance of Isa (Jesus )  was put over another man (and they Killed that man ) , and those who differ therein are full of doubts. They have no (certain )  knowledge, they follow nothing but conjecture. For surely, they killed him not (i.e. Isa (Jesus ) , son of Maryam (Mary )  (PBUT ) )   .158:But Allah raised him (Isa (Jesus )  up (with his body and soul )  unto Himself (and he (PBUH )  is in the heavens ) . And Allah is Ever All- Powerful All-Wise;
